id,isDefault
800000,0.07012243
800001,0.36251152
800002,0.55052316
800003,0.313081
800004,0.29326436
800005,0.019390894
800006,0.2875657
800007,0.023850145
800008,0.6404158
800009,0.04055105
800010,0.31402206
800011,0.3864178
800012,0.37144
800013,0.16752517
800014,0.12164428
800015,0.22946604
800016,0.18285137
800017,0.14283274
800018,0.018106315
800019,0.2497194
800020,0.05840215
800021,0.08577269
800022,0.22039264
800023,0.044820562
800024,0.35135603
800025,0.173229
800026,0.035348117
800027,0.12073175
800028,0.18342362
800029,0.18242167
800030,0.08859549
800031,0.077255115
800032,0.07798707
800033,0.1178085
800034,0.6075187
800035,0.4267717
800036,0.020568686
800037,0.21075967
800038,0.12991986
800039,0.18241988
800040,0.31546694
800041,0.18310405
800042,0.00643982
800043,0.18174884
800044,0.058319315
800045,0.15463066
800046,0.18461443
800047,0.12989429
800048,0.06514603
800049,0.1838907
800050,0.3571478
800051,0.195905
800052,0.026794985
800053,0.5007159
800054,0.5249901
800055,0.3032139
800056,0.4910704
800057,0.1539948
800058,0.64789903
800059,0.30313292
800060,0.42601973
800061,0.03585457
800062,0.06566873
800063,0.23401156
800064,0.013409529
800065,0.106620975
800066,0.3975013
800067,0.10981194
800068,0.08295801
800069,0.058897503
800070,0.14756222
800071,0.015946269
800072,0.14195721
800073,0.12816587
800074,0.023220345
800075,0.15741439
800076,0.039125312
800077,0.1979383
800078,0.22350696
800079,0.2523935
800080,0.31399983
800081,0.027397117
800082,0.513968
800083,0.4632413
800084,0.30278414
800085,0.2732987
800086,0.105063275
800087,0.103958845
800088,0.17003047
800089,0.18291536
800090,0.15435073
800091,0.45963442
800092,0.017915977
800093,0.06781804
800094,0.09518602
800095,0.08938684
800096,0.0798598
800097,0.4546032
800098,0.14748426
800099,0.174872
800100,0.14856312
800101,0.18952912
800102,0.061872162
800103,0.1299103
800104,0.033970315
800105,0.47439042
800106,0.10267679
800107,0.24222961
800108,0.094036415
800109,0.21419755
800110,0.2714548
800111,0.43110666
800112,0.09445686
800113,0.051704865
800114,0.07632926
800115,0.13800612
800116,0.35706165
800117,0.2586719
800118,0.19487906
800119,0.048343085
800120,0.19369128
800121,0.0687399
800122,0.2587744
800123,0.23888406
800124,0.3718792
800125,0.20840275
800126,0.16969004
800127,0.18731338
800128,0.15336713
800129,0.13533057
800130,0.260804
800131,0.28263682
800132,0.13131636
800133,0.016523777
800134,0.33056444
800135,0.04992945
800136,0.052977398
800137,0.18211164
800138,0.22328085
800139,0.27081895
800140,0.18451032
800141,0.23689047
800142,0.24789216
800143,0.050054535
800144,0.30515304
800145,0.2692235
800146,0.115093246
800147,0.075034566
800148,0.056337334
800149,0.38659996
800150,0.16478959
800151,0.017775362
800152,0.07449243
800153,0.082692355
800154,0.29155135
800155,0.032952167
800156,0.12360476
800157,0.11172688
800158,0.09194052
800159,0.10402152
800160,0.33464932
800161,0.12446427
800162,0.06828191
800163,0.10390946
800164,0.339798
800165,0.077564284
800166,0.39450464
800167,0.52693826
800168,0.06506865
800169,0.11774601
800170,0.14816241
800171,0.042313114
800172,0.055900298
800173,0.2532574
800174,0.19234863
800175,0.31441617
800176,0.46952027
800177,0.12870991
800178,0.049502384
800179,0.024248576
800180,0.33290088
800181,0.18030274
800182,0.6489848
800183,0.24528217
800184,0.22022429
800185,0.084981084
800186,0.07765621
800187,0.13294013
800188,0.14877626
800189,0.020308271
800190,0.21122164
800191,0.055585187
800192,0.10265808
800193,0.33076584
800194,0.17405434
800195,0.02889877
800196,0.13343425
800197,0.23269239
800198,0.0992717
800199,0.14714329
800200,0.21386303
800201,0.09127693
800202,0.26996964
800203,0.45168847
800204,0.07867655
800205,0.29398435
800206,0.049325213
800207,0.2573493
800208,0.21071784
800209,0.29675776
800210,0.08895223
800211,0.3599821
800212,0.58040136
800213,0.5116349
800214,0.010234199
800215,0.104248986
800216,0.3830636
800217,0.051701114
800218,0.5380183
800219,0.17597729
800220,0.23271364
800221,0.16159686
800222,0.08554764
800223,0.13262586
800224,0.15972796
800225,0.05597238
800226,0.01764328
800227,0.52505594
800228,0.43506998
800229,0.12134944
800230,0.3513433
800231,0.043390058
800232,0.17167103
800233,0.09830233
800234,0.04703483
800235,0.719664
800236,0.39754763
800237,0.05221784
800238,0.09172891
800239,0.1936294
800240,0.19413678
800241,0.14313932
800242,0.17313373
800243,0.109422445
800244,0.12982824
800245,0.21085738
800246,0.43769455
800247,0.011665853
800248,0.23158652
800249,0.11834185
800250,0.35064065
800251,0.33234262
800252,0.38512772
