1:-0.07274833 -0.12400185 0.045487866 -0.064352326 0.010923987 -0.061987437 -0.032235574 0.034136146 -0.07281501 -0.04825173
10:0.025481688 -0.12079461 0.04649 -0.05570417 -0.14598586 -0.11347504 0.017026035 -0.025359299 -0.089678496 0.020319816
100:-0.017712502 -0.012437917 -0.098832965 -0.042119414 -0.016634058 -0.016520208 0.0007384232 0.012465061 -0.09863836 -0.002953023
1000:-0.0017460182 -0.041018516 -0.005511592 -0.050368827 -0.13574487 -0.05711401 -0.026892146 -0.074603796 -0.093557164 0.10919574
101:0.00564799 -0.014647001 -0.09151739 -0.09600204 -0.10367736 -0.014071761 0.002902735 0.011607323 0.008684779 -0.12293358
102:-0.025147485 -0.012608604 -0.09370963 -0.012488642 -0.08334012 -0.034006428 0.035096776 -0.037471183 -0.078125834 -0.043975294
103:-0.0072246743 -0.08318556 -0.027532626 -0.013393306 -0.08673094 0.0010071492 0.03962609 -0.07869174 -0.046351686 -0.07356975
104:-0.021115137 0.0026522824 -0.010788617 -0.041462146 -0.016352607 0.013862651 -0.021164035 -0.03948488 -0.02727105 0.0055005695
105:-0.017590754 0.004623561 0.0652671 -0.07252436 -0.10699475 -0.017116453 -0.007280129 0.004125273 0.026172902 -0.030176193
106:-0.03554773 -0.05446836 -0.07321709 0.00019749344 0.020049326 -0.05992834 0.02653431 0.13883528 -0.06896401 -0.110131145
107:-0.049565416 -0.119419046 -0.059673738 0.012815642 -0.062811114 -0.0056744097 -0.05064387 -0.06915973 -0.09943136 -0.10786427
108:-0.023461249 -0.031770613 -0.060007658 -0.07517198 -0.014776817 -0.007882522 -0.008482845 0.17623498 0.035238273 0.04246485
11:-0.057645053 0.013397788 -0.029484311 -0.053733353 -0.024658777 -0.015477995 -0.017295288 0.002251101 -0.10361287 -0.06357608
110:-0.03312713 -0.07981344 0.00016954541 0.06340236 -0.001856894 0.029582981 0.047712952 0.014554051 -0.06267065 -0.03650123
111:-0.011322806 -0.04563596 -0.057297412 -0.004892941 0.047477853 -0.08283837 -0.030203072 -0.0038858508 0.019451005 0.030690303
112:-0.09355374 -0.028711382 -0.11103767 0.025576744 -0.11797954 0.0653068 -0.0012842235 0.010681409 -0.0706401 -0.049384534
113:-0.020805275 0.07809582 -0.063761555 -0.102036715 0.002266217 -0.07443963 -0.045823324 -0.11517748 -0.04117768 0.03405984
114:-0.05033952 -0.014841112 -0.083606154 -0.06131127 -0.012444623 -0.037041537 0.021580705 0.007991646 0.060381953 0.0057567973
115:-0.046778582 -0.12319363 0.024591833 -0.03372105 -0.039306328 0.027452864 -0.029054241 -0.12512012 -0.065137744 0.054752123
116:-0.036029123 0.00998367 -0.0010685436 -0.092485495 -0.14387387 -0.076549195 -0.095581554 -0.08243063 -0.10529108 -0.0025556427
117:-0.022350747 -0.116529316 -0.035737146 0.027701415 -0.09436843 -0.010684289 -0.009202801 0.024296636 -0.032116096 -0.1279161
118:-0.10970172 -0.10045258 0.012970969 -0.08819744 -0.075521424 -0.021331767 -0.046022642 0.040702447 -0.08133679 0.0031303845
